gender,race,college_tier,education_level,years_experience,skills_score,interview_score,test_score,hired
Male,White,Tier 1,Bachelors,5.2,78.5,89.2,65.1,1
Female,Black,Tier 3,Masters,10.1,55.1,62.8,45.3,0
Male,Asian,Tier 1,PhD,2.5,88.2,92.5,78.9,1
,White,Tier 2,Bachelors,7.8,62.4,75.1,58.2,0
Female,Hispanic,Tier 2,Masters,3.1,68.9,78.3,61.7,0
Male,White,Tier 1,Bachelors,1.5,82.1,95.3,81.4,1
Female,Asian,Tier 3,PhD,12.4,45.7,58.9,39.8,0
Male,Black,Tier 1,Masters,8.9,75.3,85.6,72.4,1
Female,White,Tier 2,Bachelors,4.6,71.2,81.7,64.3,0
Male,Hispanic,Tier 1,PhD,6.7,81.8,91.2,75.8,1
Female,Asian,Tier 3,Masters,9.2,58.2,65.4,48.1,0
Male,White,Tier 2,Bachelors,2.1,75.8,88.1,71.2,1
,Black,Tier 1,Bachelors,,65.4,78.9,60.3,1
Female,White,Tier 3,Masters,11.5,48.9,60.2,42.7,0
Male,Asian,Tier 1,PhD,3.8,85.6,94.1,79.3,1
Female,Hispanic,Tier 2,Bachelors,5.9,69.3,79.8,62.1,0
Male,White,Tier 2,Masters,7.2,68.1,80.4,63.5,0
Female,Black,Tier 1,PhD,0.8,78.2,89.5,73.1,1
Male,Asian,Tier 3,Bachelors,14.2,42.1,55.3,37.6,0
Female,White,Tier 1,Masters,6.1,80.4,90.7,74.9,1
Male,Hispanic,Tier 2,PhD,4.3,73.5,84.8,68.2,1
,White,Tier 3,Bachelors,8.6,55.8,68.3,50.1,0
Female,Asian,Tier 1,Masters,2.9,86.3,95.1,80.6,1
Male,Black,Tier 2,Bachelors,1.2,72.9,85.2,69.4,1
Female,White,Tier 3,PhD,13.1,44.2,57.4,38.9,0
Male,Hispanic,Tier 1,Masters,7.5,78.9,89.4,73.8,1
Female,Asian,Tier 2,Bachelors,3.4,70.1,80.6,63.2,0
Male,White,Tier 1,PhD,9.8,72.4,83.7,67.1,1
,Black,Tier 3,Masters,15.3,39.8,52.1,35.4,0
Female,White,Tier 2,Bachelors,0.5,79.5,91.8,75.2,1
Male,Asian,Tier 1,PhD,5.6,83.7,93.2,78.1,1
Female,Hispanic,Tier 3,Bachelors,10.8,51.3,64.8,46.2,0
Male,White,Tier 2,Masters,2.8,74.2,86.5,70.3,1
Female,Black,Tier 1,PhD,8.1,68.5,81.2,65.7,1
Male,Asian,Tier 2,Bachelors,4.9,65.8,77.1,61.4,0
,White,Tier 1,Masters,11.2,60.2,73.5,55.9,0
Female,Hispanic,Tier 3,PhD,1.7,76.4,88.9,72.3,1
Male,Black,Tier 2,Masters,6.4,63.7,76.2,59.5,0
Female,Asian,Tier 1,Bachelors,3.2,84.1,93.8,79.2,1
Male,White,Tier 3,Masters,9.5,53.6,66.1,49.4,0
Female,Black,Tier 2,PhD,7.3,61.9,74.4,57.7,0
Male,Hispanic,Tier 1,Bachelors,0.9,80.7,92.3,76.5,1
,Asian,Tier 2,Masters,5.1,67.2,79.5,62.8,0
Female,White,Tier 3,Bachelors,12.8,46.5,59.8,41.1,0
Male,Black,Tier 1,PhD,3.6,82.9,93.4,78.3,1
Female,Hispanic,Tier 2,Masters,8.4,58.6,71.9,54.2,0
Male,White,Tier 1,Bachelors,1.3,88.8,98.2,83.5,1
,Asian,Tier 3,PhD,10.6,49.1,62.4,44.7,0
Female,Black,Tier 2,Bachelors,6.8,64.3,77.6,60.9,0
Male,White,Tier 1,Masters,4.1,85.2,94.5,79.8,1
Female,Hispanic,Tier 2,PhD,2.3,75.6,87.9,71.2,1
,Black,Tier 3,Bachelors,11.9,47.8,61.1,43.4,0
Male,Asian,Tier 1,Masters,7.1,79.3,90.6,74.9,1
Female,White,Tier 2,Bachelors,3.9,72.6,85.9,69.2,1
